date,day,cases
24/05/2021,489,4709
25/05/2021,490,4642
26/05/2021,491,4626
27/05/2021,492,4683
28/05/2021,493,4765
29/05/2021,494,4856
30/05/2021,495,4697
31/05/2021,496,4597
01/06/2021,497,4401
02/06/2021,498,4424
03/06/2021,499,4442
04/06/2021,500,4610
05/06/2021,501,4673
06/06/2021,502,4541
07/06/2021,503,4486
08/06/2021,504,4264
09/06/2021,505,4035
10/06/2021,506,4066
11/06/2021,507,4015
12/06/2021,508,4109
13/06/2021,509,4017
14/06/2021,510,3754
15/06/2021,511,3520
16/06/2021,512,3391
17/06/2021,513,3451
18/06/2021,514,3376
19/06/2021,515,3530
20/06/2021,516,3696
21/06/2021,517,3582
22/06/2021,518,3437
23/06/2021,519,3304
24/06/2021,520,3293
25/06/2021,521,3471
26/06/2021,522,3631
27/06/2021,523,3684
28/06/2021,524,3640
29/06/2021,525,3680
30/06/2021,526,3264
01/07/2021,527,3747
02/07/2021,528,3975
03/07/2021,529,4249
04/07/2021,530,4513
05/07/2021,531,4544
06/07/2021,532,4561
07/07/2021,533,4651
08/07/2021,534,4844
09/07/2021,535,5146
10/07/2021,536,5385
11/07/2021,537,5984
12/07/2021,538,5680
13/07/2021,539,5757
14/07/2021,540,6046
15/07/2021,541,6478
16/07/2021,542,7313
17/07/2021,543,8293
18/07/2021,544,8939
19/07/2021,545,9477
20/07/2021,546,9956
21/07/2021,547,10635
22/07/2021,548,11247
23/07/2021,549,12061
24/07/2021,550,12817
25/07/2021,551,13206
26/07/2021,552,13488
27/07/2021,553,13432
28/07/2021,554,13356
29/07/2021,555,13538
30/07/2021,556,13968
31/07/2021,557,14285
01/08/2021,558,14123
02/08/2021,559,14287
03/08/2021,560,13785
04/08/2021,561,13657
05/08/2021,562,14023
06/08/2021,563,14528
07/08/2021,564,15242
08/08/2021,565,15778
09/08/2021,566,15828
10/08/2021,567,15836
11/08/2021,568,16228
12/08/2021,569,16863
13/08/2021,570,17489
14/08/2021,571,18679
15/08/2021,572,19220
16/08/2021,573,19169
17/08/2021,574,18884
18/08/2021,575,18760
19/08/2021,576,18741
20/08/2021,577,19428
21/08/2021,578,20044
22/08/2021,579,19913
23/08/2021,580,19770
24/08/2021,581,19363
25/08/2021,582,19340
26/08/2021,583,19448
27/08/2021,584,19882
28/08/2021,585,20383
29/08/2021,586,20385
30/08/2021,587,19859
31/08/2021,588,19143
01/09/2021,589,18807
02/09/2021,590,15412
03/09/2021,591,15229
04/09/2021,592,15361
05/09/2021,593,14490
06/09/2021,594,13760
07/09/2021,595,13350
08/09/2021,596,12890
09/09/2021,597,12455
10/09/2021,598,12782
11/09/2021,599,12866
12/09/2021,600,12423
13/09/2021,601,15007
14/09/2021,602,14776
15/09/2021,603,11897
16/09/2021,604,14482
17/09/2021,605,14732
18/09/2021,606,14723
19/09/2021,607,14410
20/09/2021,608,14289
