date,day,cases
29/02/2020,39,1
01/03/2020,40,1
02/03/2020,41,1
03/03/2020,42,2
04/03/2020,43,6
05/03/2020,44,6
06/03/2020,45,18
07/03/2020,46,18
08/03/2020,47,19
09/03/2020,48,21
10/03/2020,49,34
11/03/2020,50,42
12/03/2020,51,42
13/03/2020,52,89
14/03/2020,53,127
15/03/2020,54,123
16/03/2020,55,163
17/03/2020,56,205
18/03/2020,57,274
19/03/2020,58,538
20/03/2020,59,662
21/03/2020,60,751
22/03/2020,61,863
23/03/2020,62,1082
24/03/2020,63,1239
25/03/2020,64,1435
26/03/2020,65,1690
27/03/2020,66,1952
28/03/2020,67,2192
29/03/2020,68,2323
30/03/2020,69,2353
31/03/2020,70,2552
01/04/2020,71,2662
02/04/2020,72,2943
03/04/2020,73,3148
04/04/2020,74,3275
05/04/2020,75,3430
06/04/2020,76,3545
07/04/2020,77,3588
08/04/2020,78,3659
09/04/2020,79,3959
10/04/2020,80,5179
11/04/2020,81,5693
12/04/2020,82,6208
13/04/2020,83,6798
14/04/2020,84,7206
15/04/2020,85,7943
16/04/2020,86,8277
17/04/2020,87,8616
18/04/2020,88,9049
19/04/2020,89,9177
20/04/2020,90,9078
21/04/2020,91,7951
22/04/2020,92,7743
23/04/2020,93,7952
24/04/2020,94,7537
25/04/2020,95,7082
26/04/2020,96,6715
27/04/2020,97,6377
28/04/2020,98,5897
29/04/2020,99,5495
30/04/2020,100,5361
01/05/2020,101,5181
02/05/2020,102,5136
03/05/2020,103,4835
04/05/2020,104,4165
05/05/2020,105,3799
06/05/2020,106,3687
07/05/2020,107,3123
08/05/2020,108,2893
09/05/2020,109,2883
10/05/2020,110,2743
11/05/2020,111,2523
12/05/2020,112,2409
13/05/2020,113,2225
14/05/2020,114,2321
15/05/2020,115,2184
16/05/2020,116,2065
17/05/2020,117,1864
18/05/2020,118,1815
19/05/2020,119,1710
20/05/2020,120,1555
21/05/2020,121,1395
22/05/2020,122,1371
23/05/2020,123,1340
24/05/2020,124,1238
25/05/2020,125,871
26/05/2020,126,779
27/05/2020,127,755
28/05/2020,128,729
29/05/2020,129,676
30/05/2020,130,678
31/05/2020,131,675
01/06/2020,132,671
02/06/2020,133,560
03/06/2020,134,529
04/06/2020,135,503
05/06/2020,136,465
06/06/2020,137,448
07/06/2020,138,398
08/06/2020,139,366
09/06/2020,140,339
10/06/2020,141,302
11/06/2020,142,248
12/06/2020,143,188
13/06/2020,144,229
14/06/2020,145,192
15/06/2020,146,179
16/06/2020,147,171
17/06/2020,148,158
18/06/2020,149,154
19/06/2020,150,161
20/06/2020,151,159
21/06/2020,152,148
22/06/2020,153,145
23/06/2020,154,141
24/06/2020,155,101
25/06/2020,156,102
26/06/2020,157,93
27/06/2020,158,103
