date,day,cases
03/12/2020,317,2767
04/12/2020,318,2780
05/12/2020,319,3018
06/12/2020,320,3059
07/12/2020,321,2974
08/12/2020,322,2983
09/12/2020,323,2958
10/12/2020,324,2962
11/12/2020,325,2963
12/12/2020,326,2958
13/12/2020,327,3119
14/12/2020,328,3221
15/12/2020,329,3285
16/12/2020,330,3249
17/12/2020,331,3432
18/12/2020,332,3786
19/12/2020,333,4094
20/12/2020,334,4642
21/12/2020,335,5064
22/12/2020,336,5721
23/12/2020,337,6399
24/12/2020,338,6888
25/12/2020,339,7649
26/12/2020,340,8618
27/12/2020,341,8932
28/12/2020,342,9216
29/12/2020,343,10185
30/12/2020,344,11381
31/12/2020,345,12237
01/01/2021,346,13265
02/01/2021,347,15698
03/01/2021,348,19732
04/01/2021,349,24924
05/01/2021,350,29224
06/01/2021,351,35760
07/01/2021,352,41528
08/01/2021,353,48990
09/01/2021,354,52288
10/01/2021,355,57456
11/01/2021,356,60760
12/01/2021,357,62059
13/01/2021,358,62218
14/01/2021,359,61170
15/01/2021,360,58551
16/01/2021,361,56458
17/01/2021,362,51572
18/01/2021,363,47186
19/01/2021,364,40955
20/01/2021,365,38597
21/01/2021,366,34309
22/01/2021,367,31740
23/01/2021,368,30593
24/01/2021,369,28410
25/01/2021,370,25866
26/01/2021,371,23303
27/01/2021,372,21402
28/01/2021,373,19919
29/01/2021,374,19049
30/01/2021,375,18464
31/01/2021,376,17223
01/02/2021,377,15631
02/02/2021,378,14145
03/02/2021,379,13246
04/02/2021,380,13190
05/02/2021,381,12840
06/02/2021,382,12697
07/02/2021,383,12386
08/02/2021,384,11752
09/02/2021,385,11048
10/02/2021,386,10636
11/02/2021,387,10254
12/02/2021,388,10167
13/02/2021,389,10372
14/02/2021,390,10152
15/02/2021,391,9658
16/02/2021,392,9350
17/02/2021,393,9203
18/02/2021,394,9079
19/02/2021,395,9003
20/02/2021,396,9438
21/02/2021,397,9118
22/02/2021,398,8942
23/02/2021,399,8580
24/02/2021,400,8044
25/02/2021,401,7896
26/02/2021,402,7849
27/02/2021,403,7867
28/02/2021,404,7841
01/03/2021,405,7626
02/03/2021,406,7230
03/03/2021,407,6811
04/03/2021,408,6592
05/03/2021,409,6426
06/03/2021,410,6399
07/03/2021,411,6379
08/03/2021,412,6173
09/03/2021,413,5706
10/03/2021,414,5608
11/03/2021,415,5587
12/03/2021,416,5547
13/03/2021,417,5728
14/03/2021,418,5552
15/03/2021,419,5667
16/03/2021,420,5494
17/03/2021,421,5516
18/03/2021,422,5577
19/03/2021,423,5655
20/03/2021,424,5874
21/03/2021,425,6011
22/03/2021,426,5940
23/03/2021,427,5664
24/03/2021,428,5806
25/03/2021,429,6017
26/03/2021,430,6011
27/03/2021,431,6274
28/03/2021,432,6326
29/03/2021,433,6282
30/03/2021,434,6138
31/03/2021,435,6023
01/04/2021,436,6001
