t real,beta_real1,gamma_real1,beta_real2,gamma_real2,beta_real3,gamma_real3,beta_real4,gamma_real4,beta_real5,gamma_real5,t pred,beta_pred1,gamma_pred1,beta_pred2,gamma_pred2,beta_pred3,gamma_pred3,beta_pred4,gamma_pred4,beta_pred5,gamma_pred5
25,0.15,0.090909091,0.25,0.090909091,0.15,0.090909091,0.25,0.142857143,0.080289214,0.090909091,30,0.1464,0.0884,0.244,0.0883,0.1473,0.0892,0.2426,0.1385,0.0769,0.0917
26,0.15,0.090909091,0.25,0.090909091,0.15,0.090909091,0.25,0.142857143,0.078306867,0.090909091,31,0.1474,0.0891,0.2397,0.0858,0.1488,0.0893,0.2439,0.1382,0.0723,0.0908
27,0.15,0.090909091,0.25,0.090909091,0.15,0.090909091,0.25,0.142857143,0.076373463,0.090909091,32,0.1427,0.0867,0.2401,0.0855,0.1485,0.0901,0.2446,0.1385,0.0735,0.0919
28,0.15,0.090909091,0.25,0.090909091,0.15,0.090909091,0.25,0.142857143,0.074487796,0.090909091,33,0.1472,0.0891,0.2433,0.0866,0.1478,0.0906,0.2413,0.1363,0.0718,0.0917
29,0.15,0.090909091,0.25,0.090909091,0.15,0.090909091,0.25,0.142857143,0.072648685,0.090909091,34,0.1454,0.0884,0.2441,0.0867,0.1491,0.0897,0.2456,0.139,0.0685,0.0915
30,0.15,0.090909091,0.25,0.090909091,0.15,0.090909091,0.25,0.142857143,0.070854983,0.090909091,35,0.1475,0.0889,0.2452,0.0872,0.1498,0.09,0.248,0.1399,0.0681,0.0909
31,0.15,0.090909091,0.25,0.090909091,0.15,0.090909091,0.25,0.142857143,0.069105567,0.090909091,,,,,,,,,,,
32,0.15,0.090909091,0.25,0.090909091,0.15,0.090909091,0.25,0.142857143,0.067399345,0.090909091,,,,,,,,,,,
33,0.15,0.090909091,0.25,0.090909091,0.15,0.090909091,0.25,0.142857143,0.065735249,0.090909091,,,,,,,,,,,
34,0.15,0.090909091,0.25,0.090909091,0.15,0.090909091,0.25,0.142857143,0.06411224,0.090909091,,,,,,,,,,,
35,0.15,0.090909091,0.25,0.090909091,0.15,0.090909091,0.25,0.142857143,0.062529303,0.090909091,,,,,,,,,,,
