t,S,I,R,R0,beta, gamma
0,99,1,0,5.4999999945,0.5,0.090909091
1,98.505,1.404090909,0.090909091,5.4999999945,0.5,0.090909091
2,97.81345012504477,1.9679961557366712,0.2185537192185537,5.4999999945,0.5,0.090909091
3,96.85096765591763,2.7515698832543,0.3974624608280689,5.4999999945,0.5,0.090909091
4,95.51850662708733,3.8338881951749713,0.6476051777376934,5.4999999945,0.5,0.090909091
5,93.68747025219567,5.316389279247646,0.9961404685566806,5.4999999945,0.5,0.090909091
6,91.19707493995264,7.323476474712127,1.4794485853352293,5.4999999945,0.5,0.090909091
7,87.85767677552613,9.997104049862674,2.145219174611193,5.4999999945,0.5,0.090909091
8,83.46606509400544,13.47988808957793,3.0540468164166272,5.4999999945,0.5,0.090909091
9,77.84049901028234,17.880009800295774,4.279491189421884,5.4999999945,0.5,0.090909091
10,70.88155458446353,23.2134987880986,5.904946627437864,5.4999999945,0.5,0.090909091
11,62.654510177238585,29.3302251215679,8.015264701193509,5.4999999945,0.5,0.090909091
12,53.46615573533871,35.85219545884067,10.681648805820611,5.4999999945,0.5,0.090909091
13,43.88176040605782,42.17730028860403,13.940939305338144,5.4999999945,0.5,0.090909091
14,34.627689476863445,47.59707118772738,17.775239335409175,5.4999999945,0.5,0.090909091
15,26.386806471379508,51.510947717272735,22.10224581134776,5.4999999945,0.4,0.090909091
16,20.94996883708741,52.26497191803904,26.78505924487355,4.3999999956,0.4,0.090909091
17,16.570170705270744,51.89340896164625,31.536420333083008,4.3999999956,0.4,0.090909091
18,13.130640125379124,50.61535690394336,36.25400297067752,4.3999999956,0.4,0.090909091
19,10.472191980085908,48.672408962458505,40.855399057455585,4.3999999956,0.4,0.090909091
20,8.43336473693343,46.28647175005363,45.280163513012944,4.3999999956,0.4,0.090909091
21,6.87196194231756,43.640013472274944,49.4880245854075,4.3999999956,0.4,0.090909091
22,5.672391895342764,40.872309563257474,53.45529854139977,4.3999999956,0.4,0.090909091
23,4.7450168653005145,38.08402008383338,57.17096305086611,4.3999999956,0.4,0.090909091
24,4.022179594915583,35.344673706771275,60.63314669831315,4.3999999956,0.4,0.090909091
25,3.453529093426284,32.7001720498864,63.846298856687326,4.3999999956,0.4,0.090909091
26,3.001805111288973,30.17915311542493,66.8190417732861,4.3999999956,0.4,0.090909091
27,2.6394373669839526,27.797961482856852,69.5626011501592,4.3999999956,0.4,0.090909091
28,2.3459534539286206,25.564357985852656,72.08968856021872,4.3999999956,0.4,0.090909091
29,2.1060622782711054,23.480216615017717,74.41372110671118,4.3999999956,0.4,0.090909091
30,1.9082590842770122,21.543454660057453,76.54828625566553,4.3999999956,0.4,0.090909091
31,1.743817112029954,19.749400752158973,78.50678213581106,4.3999999956,0.4,0.090909091
32,1.6060597400941456,18.091758053921293,80.30218220598455,4.3999999956,0.4,0.090909091
33,1.4898339631424375,16.563278551599087,81.94688748525846,4.3999999956,0.4,0.090909091
34,1.3911278234337936,15.15623209420206,83.45264008236413,4.3999999956,0.4,0.090909091
35,1.3067907987751348,13.862729836191784,84.83047936503306,4.3999999956,0.4,0.090909091
36,1.234328047591771,12.674944419188375,86.09072753321983,4.3999999956,0.4,0.090909091
37,1.171747889998687,11.585256901157521,87.24299520884377,4.3999999956,0.4,0.090909091
38,1.117447888682591,10.58635172858791,88.29620038272947,4.3999999956,0.4,0.090909091
39,1.0701291031307436,9.671274901487552,89.25859599538167,4.3999999956,0.4,0.090909091
40,1.0287310521849047,8.833466142328042,90.13780280548701,4.3999999956,0.4,0.090909091
41,0.9923820085087572,8.06677280862587,90.94084518286533,4.3999999956,0.4,0.090909091
42,0.9603607277007253,7.365451106098208,91.67418816620102,4.3999999956,0.4,0.090909091
43,0.9320667677643389,6.724158601174262,92.34377463106135,4.3999999956,0.4,0.090909091
44,0.9069973086710138,6.137940914095003,92.95506177723394,4.3999999956,0.4,0.090909091
45,0.8847289251115503,5.602214668542381,93.51305640634602,4.3999999956,0.4,0.090909091
46,0.8649031596637757,5.112748190886101,94.02234864945008,4.3999999956,0.4,0.090909091
47,0.8472150314043252,4.665641028600202,94.48714393999543,4.3999999956,0.4,0.090909091
48,0.8314038265620579,4.25730304860012,94.91129312483778,4.3999999956,0.4,0.090909091
49,0.817245674380296,3.8844336505221158,95.29832067509754,4.3999999956,0.4,0.090909091
50,0.8045475279870702,3.5440014646965645,95.65145100731633,4.3999999956,0.4,0.090909091
51,0.7931422575166535,3.233224783508748,95.97363295897456,4.3999999956,0.4,0.090909091
52,0.7828846287012498,2.9495528862566998,96.26756248504202,4.3999999956,0.4,0.090909091
53,0.7736479902364827,2.690648352975444,96.53570365678804,4.3999999956,0.4,0.090909091
54,0.7653215314736325,2.4543704157686492,96.78030805275769,4.3999999956,0.4,0.090909091
55,0.7578080013720339,2.238759362395428,97.0034326362325,4.3999999956,0.4,0.090909091
56,0.7510218023401546,2.042021982824199,97.20695621483561,4.3999999956,0.4,0.090909091
57,0.7448873902203192,1.862518032683469,97.39259457709618,4.3999999956,0.4,0.090909091
58,0.7393379254339038,1.698747676147522,97.56191439841854,4.3999999956,0.4,0.090909091
59,0.7343141311030295,1.5493398634014626,97.71634600549547,4.3999999956,0.4,0.090909091
60,0.7297633224807217,1.4130415933918792,97.85719508412735,4.3999999956,0.4,0.090909091
61,0.7256385787687333,1.2887080103034203,97.9856534109278,4.3999999956,0.4,0.090909091
62,0.7218980337725555,1.1752932815184955,98.1028086847089,4.3999999956,0.4,0.090909091
63,0.7185042661364183,1.0718422052733791,98.20965352859015,4.3999999956,0.4,0.090909091
64,0.7154237733479623,0.9774824974849968,98.307093729167,4.3999999956,0.4,0.090909091
65,0.712626516481033,0.8914177090371552,98.39595577448176,4.3999999956,0.4,0.090909091
66,0.7100855248941504,0.8129207269941676,98.47699374811164,4.3999999956,0.4,0.090909091
67,0.7077765519296505,0.7413278156125687,98.55089563245774,4.3999999956,0.4,0.090909091
68,0.7056777741489153,0.6760331555429496,98.6182890703081,4.3999999956,0.4,0.090909091
69,0.7037695278590976,0.6164838421764961,98.67974662996437,4.3999999956,0.4,0.090909091
70,0.7020340776889323,0.5621753066382087,98.73579061567283,4.3999999956,0.4,0.090909091
71,0.7004554127973514,0.5126471254206638,98.78689746178195,4.3999999956,0.4,0.090909091
72,0.6990190669819277,0.4674791870603319,98.8335017459577,4.3999999956,0.4,0.090909091
73,0.6977119595212382,0.42628818656394774,98.87599985391478,4.3999999956,0.4,0.090909091
74,0.696522254057365,0.38872442048325395,98.91475332545934,4.3999999956,0.4,0.090909091
75,0.6954392332191165,0.3544688576058681,98.95009190917497,4.3999999956,0.4,0.090909091
76,0.6944531870169826,0.3232304621752441,98.98231635080774,4.3999999956,0.4,0.090909091
77,0.6935553133185882,0.29474374837377704,99.0117009383076,4.3999999956,0.4,0.090909091
78,0.69273762894758,0.2687665465021925,99.0384958245502,4.3999999956,0.4,0.090909091
79,0.6919928901469226,0.2450779628691264,99.06292914698392,4.3999999956,0.4,0.090909091
80,0.691314521315574,0.22347651687191086,99.08520896181248,4.3999999956,0.4,0.090909091
81,0.6906965510704277,0.20377844010838558,99.10552500882116,4.3999999956,0.4,0.090909091
82,0.6901335548073663,0.1858161236157958,99.12405032157682,4.3999999956,0.4,0.090909091
83,0.6896206030396403,0.16943670049246615,99.14094269646787,4.3999999956,0.4,0.090909091
84,0.6891532148813577,0.15450075222693943,99.15634603289169,4.3999999956,0.4,0.090909091
85,0.6887273161209626,0.14088112804356728,99.17039155583545,4.3999999956,0.4,0.090909091
86,0.6883392013961245,0.12846186747891014,99.18319893112495,4.3999999956,0.4,0.090909091
87,0.6879855000390434,0.11713721723532111,99.19487728272561,4.3999999956,0.4,0.090909091
88,0.687663145211152,0.10681073412207984,99.20552612066675,4.3999999956,0.4,0.090909091
89,0.6873693459896772,0.09739446659547368,99.21523618741483,4.3999999956,0.4,0.090909091
90,0.6871015621064502,0.08880820805207629,99.22409022984145,4.3999999956,0.4,0.090909091
91,0.6868574810725284,0.08097881561864498,99.2321637033088,4.3999999956,0.4,0.090909091
92,0.6866349974512642,0.07383958872176159,99.23952541382695,4.3999999956,0.4,0.090909091
93,0.6864321940680091,0.06732970221450747,99.24623810371746,4.3999999956,0.4,0.090909091
94,0.6862473249671409,0.06139368928975411,99.25235898574309,4.3999999956,0.4,0.090909091
95,0.6860787999469611,0.05598096982346596,99.25794023022955,4.3999999956,0.4,0.090909091
96,0.6859251705205757,0.05104542016990164,99.2630294093095,4.3999999956,0.4,0.090909091
97,0.6857851171664383,0.04654498077668016,99.26766990205685,4.3999999956,0.4,0.090909091
98,0.6856574377460565,0.042441298304041475,99.27190126394987,4.3999999956,0.4,0.090909091
99,0.6855410369786574,0.038699399221760286,99.27575956379955,4.3999999956,0.4,0.090909091
100,0.6854349168735657,0.0352873921213557,99.27927769100505,4.3999999956,0.4,0.090909091
101,0.6853381680308241,0.03217619622258423,99.28248563574657,4.3999999956,0.4,0.090909091
102,0.6852499617293306,0.02933929377364501,99.285410744497,4.3999999956,0.4,0.090909091
103,0.6851695427295884,0.026752504245843207,99.28807795302454,4.3999999956,0.4,0.090909091
104,0.6850962227251844,0.024393778407283944,99.2905099988675,4.3999999956,0.4,0.090909091
105,0.6850293743834052,0.022243010528001636,99.29272761508857,4.3999999956,0.4,0.090909091
106,0.6849684259210596,0.02028186712214318,99.29474970695676,4.3999999956,0.4,0.090909091
107,0.68491285616667,0.018493630772675934,99.29659351306063,4.3999999956,0.4,0.090909091
108,0.6848621900647763,0.01686305771173596,99.29827475222346,4.3999999956,0.4,0.090909091
109,0.6848159945822337,0.015376247946224096,99.29980775747151,4.3999999956,0.4,0.090909091
110,0.6847738749801128,0.014020526824563194,99.3012055981953,4.3999999956,0.4,0.090909091
111,0.6847354714181811,0.012784337037532713,99.30248019154426,4.3999999956,0.4,0.090909091
112,0.6847004558619885,0.011657140134605637,99.30364240400338,4.3999999956,0.4,0.090909091
113,0.6846685292653316,0.010629326717965867,99.30470214401669,4.3999999956,0.4,0.090909091
114,0.6846394190033673,0.009692134550057858,99.30566844644656,4.3999999956,0.4,0.090909091
115,0.6846128765338984,0.00883757387773142,99.30654954958835,4.3999999956,0.4,0.090909091
116,0.6845886752664023,0.00805835933735757,99.30735296539622,4.3999999956,0.4,0.090909091
117,0.684566608620228,0.00734784786122136,99.30808554351853,4.3999999956,0.4,0.090909091
118,0.6845464882550639,0.006699982056515487,99.3087535296884,4.3999999956,0.4,0.090909091
119,0.6845281424583113,0.006109238574793991,99.30936261896687,4.3999999956,0.4,0.090909091
120,0.6845114146753776,0.005570581032191088,99.30991800429241,4.3999999956,0.4,0.090909091
121,0.684496162170166,0.00507941707942439,99.3104244207504,4.3999999956,0.4,0.090909091
122,0.6844822548041782,0.004631559255911754,99.31088618593989,4.3999999956,0.4,0.090909091
123,0.6844695739236872,0.004223189294535162,99.31130723678176,4.3999999956,0.4,0.090909091
124,0.6844580113453791,0.0038508255729561578,99.31169116308165,4.3999999956,0.4,0.090909091
125,0.6844474684317243,0.003511293434173973,99.31204123813409,4.3999999956,0.4,0.090909091
126,0.6844378552481165,0.003201698123446714,99.31236044662842,4.3999999956,0.4,0.090909091
127,0.6844290897945294,0.0029194001109748226,99.31265151009448,4.3999999956,0.4,0.090909091
128,0.6844210973050866,0.0026619925900636045,99.31291691010483,4.3999999956,0.4,0.090909091
129,0.6844138096095286,0.002427280959010224,99.31315890943144,4.3999999956,0.4,0.090909091
130,0.684407164551096,0.0022132641118575917,99.31337957133702,4.3999999956,0.4,0.090909091
131,0.6844011054558352,0.0020181173785664922,99.31358077716557,4.3999999956,0.4,0.090909091
132,0.6843955806487759,0.0018401769692090316,99.31376424238199,4.3999999956,0.4,0.090909091
133,0.6843905430128345,0.0016779257896004569,99.31393153119754,4.3999999956,0.4,0.090909091
134,0.6843859495866654,0.0015299805074715416,99.31408406990583,4.3999999956,0.4,0.090909091
135,0.6843817611980156,0.001395079758939405,99.31422315904301,4.3999999956,0.4,0.090909091
136,0.6843779421294459,0.0012720733947514632,99.31434998447577,4.3999999956,0.4,0.090909091
137,0.6843744598135574,0.001159912674637874,99.31446562751177,4.3999999956,0.4,0.090909091
138,0.6843712845551169,0.0010576413261877107,99.31457107411866,4.3999999956,0.4,0.090909091
