t,S,I,R,D,R0,beta, gamma, mu
0,99,1,0,0,1.6006984850594699,0.15,0.090909091,0.0028
1,98.8515,1.054790909,0.090909091,0.0028,1.6006984850594699,0.15,0.090909091,0.0028
2,98.69509850468849,1.1123489070340666,0.18679917373225371,0.0057534145452,1.6006984850594699,0.15,0.090909091,0.0028
3,98.53042342726152,1.1727867795080253,0.2879218017455642,0.008867991484895386,1.6006984850594699,0.15,0.090909091,0.0028
4,98.35709066029929,1.236218763425741,0.3945387818074562,0.012151794467517858,1.6006984850594699,0.15,0.090909091,0.0028
5,98.17470433881395,1.302760148313314,0.5069223058676344,0.015613207005109934,1.6006984850594699,0.15,0.090909091,0.0028
6,97.98285720023638,1.3725268176014216,0.625355046741823,0.01926093542038721,1.6006984850594699,0.15,0.090909091,0.0028
7,97.78113105147757,1.445634725909672,0.750130212103091,0.023104010509671192,1.6006984850594699,0.15,0.090909091,0.0028
8,97.56909735359746,1.5221993077067533,0.8815515509535735,0.027151787742218273,1.6006984850594699,0.15,0.090909091,0.0028
9,97.34631793492963,1.6023348129285524,1.0199333063380238,0.03141394580379718,1.6006984850594699,0.15,0.090909091,0.0028
10,97.1123458437233,1.686153565337686,1.1656001076590137,0.03590048327999713,1.6006984850594699,0.15,0.090909091,0.0028
11,96.86672635144926,1.7737651397175331,1.3188867955702719,0.040621713262942644,1.6006984850594699,0.15,0.090909091,0.0028
12,96.60899811784812,1.8652754544282528,1.4801381720694808,0.045588255654151734,1.6006984850594699,0.15,0.090909091,0.0028
13,96.33869452854893,1.9607857764283603,1.6497086680961652,0.050811026926550845,1.6006984850594699,0.15,0.090909091,0.0028
14,96.05534521562204,2.0603916366004125,1.8279619206769966,0.05630122710055025,1.6006984850594699,0.15,0.090909091,0.0028
15,95.7584777707225,2.164181654130135,2.0152702514643424,0.062070323683031406,1.6006984850594699,0.25,0.142857143,0.0038
16,95.24038091867543,2.3648858078494603,2.3244390595063877,0.07029421396872591,1.7046561448425326,0.25,0.142857143,0.0038
17,94.67729935575355,2.581139974670892,2.662279889537009,0.07928078003855386,1.7046561448425326,0.25,0.142857143,0.0038
18,94.066360950601,2.813535765455112,3.031014172001585,0.08908911194230325,1.7046561448425326,0.25,0.142857143,0.0038
19,93.40471327344918,3.0625583255169624,3.4329478531828204,0.09978054785103267,1.7046561448425326,0.25,0.142857143,0.0038
20,92.68956981775386,3.328555726921097,3.8704561858370377,0.11141826948799713,1.7046561448425326,0.25,0.142857143,0.0038
21,91.91826382164702,3.611705249801404,4.345964147301274,0.1240667812502973,1.7046561448425326,0.25,0.142857143,0.0038
22,91.08830963165383,3.9119770665006115,4.861922040646004,0.13779126119954263,1.7046561448425326,0.25,0.142857143,0.0038
23,90.19747118589049,4.2290961322094525,5.420775907847802,0.15265677405224495,1.7046561448425326,0.25,0.142857143,0.0038
24,89.24383674457218,4.562503417305572,6.024932498767595,0.16872733935464088,1.7046561448425326,0.25,0.142857143,0.0038
25,88.22589846927075,4.9113179764972275,6.676718701891605,0.18606485234040204,1.7046561448425326,0.25,0.142857143,0.0038
26,87.14263486640887,5.2743017165614745,7.37833555637854,0.2047278606510915,1.7046561448425326,0.25,0.142857143,0.0038
27,85.99359349475489,5.649829067144548,8.131807230926508,0.2247702071740251,1.7046561448425326,0.25,0.142857143,0.0038
28,84.77897073446769,6.03586403800597,8.938925669897134,0.24623955762917438,1.7046561448425326,0.25,0.142857143,0.0038
29,83.49968488287935,6.429947314243906,9.801191961903111,0.26917584097359704,1.7046561448425326,0.25,0.142857143,0.0038
30,82.15743844649714,6.829196047878578,10.719755864856518,0.2936096407677239,1.7046561448425326,0.25,0.142857143,0.0038
31,80.75476531164053,7.230318801366429,11.695355301243342,0.3195605857496625,1.7046561448425326,0.25,0.142857143,0.0038
32,79.2950585668088,7.629647647810564,12.728257988185735,0.34703579719485494,1.7046561448425326,0.25,0.142857143,0.0038
33,77.78257517411568,8.023188714379131,13.818207653248622,0.3760284582565351,1.7046561448425326,0.25,0.142857143,0.0038
