beta,gamma,mu
0.001398829,0.090909091,0.0028
0.001364292,0.090909091,0.0028
0.001330607,0.090909091,0.0028
0.001297754,0.090909091,0.0028
0.001265713,0.090909091,0.0028
0.001234462,0.090909091,0.0028
0.001203983,0.090909091,0.0028
0.001174257,0.090909091,0.0028
0.001145264,0.090909091,0.0028
0.001116987,0.090909091,0.0028
0.001089409,0.090909091,0.0028
0.001062511,0.090909091,0.0028
0.001036278,0.090909091,0.0028
0.001010692,0.090909091,0.0028
0.000985738,0.090909091,0.0028
0.0009614,0.090909091,0.0028
0.000937663,0.090909091,0.0028
0.000914512,0.090909091,0.0028
0.000891933,0.090909091,0.0028
0.000869911,0.090909091,0.0028
0.000848433,0.090909091,0.0028
0.000827485,0.090909091,0.0028
0.000807054,0.090909091,0.0028
0.000787128,0.090909091,0.0028
0.000767694,0.090909091,0.0028
0.000748739,0.090909091,0.0028
7.30E-04,0.090909091,0.0028
7.12E-04,0.090909091,0.0028
6.95E-04,0.090909091,0.0028
6.77E-04,0.090909091,0.0028
6.61E-04,0.090909091,0.0028
6.44E-04,0.090909091,0.0028
6.29E-04,0.090909091,0.0028
6.13E-04,0.090909091,0.0028
5.98E-04,0.090909091,0.0028
5.83E-04,0.090909091,0.0028
5.69E-04,0.090909091,0.0028
5.55E-04,0.090909091,0.0028
5.41E-04,0.090909091,0.0028
5.28E-04,0.090909091,0.0028
5.15E-04,0.090909091,0.0028
5.02E-04,0.090909091,0.0028
4.90E-04,0.090909091,0.0028
4.77E-04,0.090909091,0.0028
4.66E-04,0.090909091,0.0028
4.54E-04,0.090909091,0.0028
4.43E-04,0.090909091,0.0028
4.32E-04,0.090909091,0.0028
4.21E-04,0.090909091,0.0028
4.11E-04,0.090909091,0.0028
4.01E-04,0.090909091,0.0028
3.91E-04,0.090909091,0.0028
3.81E-04,0.090909091,0.0028
3.72E-04,0.090909091,0.0028
3.63E-04,0.090909091,0.0028
3.54E-04,0.090909091,0.0028
3.45E-04,0.090909091,0.0028
3.36E-04,0.090909091,0.0028
3.28E-04,0.090909091,0.0028
3.20E-04,0.090909091,0.0028
3.12E-04,0.090909091,0.0028
3.04E-04,0.090909091,0.0028
2.97E-04,0.090909091,0.0028
2.90E-04,0.090909091,0.0028
2.82E-04,0.090909091,0.0028
2.75E-04,0.090909091,0.0028
2.69E-04,0.090909091,0.0028
2.62E-04,0.090909091,0.0028
2.56E-04,0.090909091,0.0028
2.49E-04,0.090909091,0.0028
2.43E-04,0.090909091,0.0028
2.37E-04,0.090909091,0.0028
2.31E-04,0.090909091,0.0028
2.26E-04,0.090909091,0.0028
2.20E-04,0.090909091,0.0028
2.15E-04,0.090909091,0.0028
2.09E-04,0.090909091,0.0028
2.04E-04,0.090909091,0.0028
1.99E-04,0.090909091,0.0028
1.94E-04,0.090909091,0.0028
1.89E-04,0.090909091,0.0028
1.85E-04,0.090909091,0.0028
1.80E-04,0.090909091,0.0028
1.76E-04,0.090909091,0.0028
1.71E-04,0.090909091,0.0028
1.67E-04,0.090909091,0.0028
1.63E-04,0.090909091,0.0028
1.59E-04,0.090909091,0.0028
1.55E-04,0.090909091,0.0028
1.51E-04,0.090909091,0.0028
1.47E-04,0.090909091,0.0028
1.44E-04,0.090909091,0.0028
1.40E-04,0.090909091,0.0028
1.37E-04,0.090909091,0.0028
1.33E-04,0.090909091,0.0028
1.30E-04,0.090909091,0.0028
1.27E-04,0.090909091,0.0028
1.24E-04,0.090909091,0.0028
1.21E-04,0.090909091,0.0028
1.18E-04,0.090909091,0.0028
1.15E-04,0.090909091,0.0028
1.12E-04,0.090909091,0.0028
1.09E-04,0.090909091,0.0028
1.07E-04,0.090909091,0.0028
1.04E-04,0.090909091,0.0028
1.01E-04,0.090909091,0.0028
9.88E-05,0.090909091,0.0028
9.64E-05,0.090909091,0.0028
9.40E-05,0.090909091,0.0028
9.17E-05,0.090909091,0.0028
8.94E-05,0.090909091,0.0028
8.72E-05,0.090909091,0.0028
8.51E-05,0.090909091,0.0028
8.30E-05,0.090909091,0.0028
8.09E-05,0.090909091,0.0028
7.89E-05,0.090909091,0.0028
7.70E-05,0.090909091,0.0028
7.51E-05,0.090909091,0.0028
7.32E-05,0.090909091,0.0028
7.14E-05,0.090909091,0.0028
6.96E-05,0.090909091,0.0028
6.79E-05,0.090909091,0.0028
6.62E-05,0.090909091,0.0028
6.46E-05,0.090909091,0.0028
6.30E-05,0.090909091,0.0028
6.15E-05,0.090909091,0.0028
5.99E-05,0.090909091,0.0028
5.85E-05,0.090909091,0.0028
5.70E-05,0.090909091,0.0028
5.56E-05,0.090909091,0.0028
5.42E-05,0.090909091,0.0028
5.29E-05,0.090909091,0.0028
5.16E-05,0.090909091,0.0028
5.03E-05,0.090909091,0.0028
4.91E-05,0.090909091,0.0028
4.79E-05,0.090909091,0.0028
4.67E-05,0.090909091,0.0028
4.55E-05,0.090909091,0.0028
4.44E-05,0.090909091,0.0028
4.33E-05,0.090909091,0.0028
4.22E-05,0.090909091,0.0028
4.12E-05,0.090909091,0.0028
4.02E-05,0.090909091,0.0028
3.92E-05,0.090909091,0.0028
3.82E-05,0.090909091,0.0028
3.73E-05,0.090909091,0.0028
3.64E-05,0.090909091,0.0028
3.55E-05,0.090909091,0.0028
