beta,gamma
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
0.25,0.090909091
