beta,gamma
7.15E-04,0.090909091
6.97E-04,0.090909091
6.80E-04,0.090909091
6.63E-04,0.090909091
6.47E-04,0.090909091
6.31E-04,0.090909091
6.15E-04,0.090909091
6.00E-04,0.090909091
5.85E-04,0.090909091
5.71E-04,0.090909091
5.57E-04,0.090909091
5.43E-04,0.090909091
5.30E-04,0.090909091
5.17E-04,0.090909091
5.04E-04,0.090909091
4.91E-04,0.090909091
4.79E-04,0.090909091
4.67E-04,0.090909091
4.56E-04,0.090909091
4.45E-04,0.090909091
4.34E-04,0.090909091
4.23E-04,0.090909091
4.13E-04,0.090909091
4.02E-04,0.090909091
3.92E-04,0.090909091
3.83E-04,0.090909091
3.73E-04,0.090909091
3.64E-04,0.090909091
3.55E-04,0.090909091
3.46E-04,0.090909091
3.38E-04,0.090909091
3.29E-04,0.090909091
3.21E-04,0.090909091
3.13E-04,0.090909091
3.06E-04,0.090909091
2.98E-04,0.090909091
2.91E-04,0.090909091
2.84E-04,0.090909091
2.77E-04,0.090909091
2.70E-04,0.090909091
2.63E-04,0.090909091
2.57E-04,0.090909091
2.50E-04,0.090909091
2.44E-04,0.090909091
2.38E-04,0.090909091
2.32E-04,0.090909091
2.26E-04,0.090909091
2.21E-04,0.090909091
2.15E-04,0.090909091
2.10E-04,0.090909091
2.05E-04,0.090909091
2.00E-04,0.090909091
1.95E-04,0.090909091
1.90E-04,0.090909091
1.85E-04,0.090909091
1.81E-04,0.090909091
1.76E-04,0.090909091
1.72E-04,0.090909091
1.68E-04,0.090909091
1.64E-04,0.090909091
1.60E-04,0.090909091
1.56E-04,0.090909091
1.52E-04,0.090909091
1.48E-04,0.090909091
1.44E-04,0.090909091
1.41E-04,0.090909091
1.37E-04,0.090909091
1.34E-04,0.090909091
1.31E-04,0.090909091
1.27E-04,0.090909091
1.24E-04,0.090909091
1.21E-04,0.090909091
1.18E-04,0.090909091
1.15E-04,0.090909091
1.12E-04,0.090909091
1.10E-04,0.090909091
1.07E-04,0.090909091
1.04E-04,0.090909091
1.02E-04,0.090909091
9.92E-05,0.090909091
9.68E-05,0.090909091
9.44E-05,0.090909091
9.21E-05,0.090909091
8.98E-05,0.090909091
8.76E-05,0.090909091
8.54E-05,0.090909091
8.33E-05,0.090909091
8.12E-05,0.090909091
7.92E-05,0.090909091
7.73E-05,0.090909091
7.54E-05,0.090909091
7.35E-05,0.090909091
7.17E-05,0.090909091
6.99E-05,0.090909091
6.82E-05,0.090909091
6.65E-05,0.090909091
6.49E-05,0.090909091
6.33E-05,0.090909091
6.17E-05,0.090909091
6.02E-05,0.090909091
5.87E-05,0.090909091
5.72E-05,0.090909091
5.58E-05,0.090909091
5.45E-05,0.090909091
5.31E-05,0.090909091
5.18E-05,0.090909091
5.05E-05,0.090909091
4.93E-05,0.090909091
4.81E-05,0.090909091
4.69E-05,0.090909091
4.57E-05,0.090909091
4.46E-05,0.090909091
4.35E-05,0.090909091
4.24E-05,0.090909091
4.14E-05,0.090909091
4.03E-05,0.090909091
3.93E-05,0.090909091
3.84E-05,0.090909091
3.74E-05,0.090909091
3.65E-05,0.090909091
3.56E-05,0.090909091
3.47E-05,0.090909091
3.39E-05,0.090909091
3.30E-05,0.090909091
3.22E-05,0.090909091
3.14E-05,0.090909091
3.06E-05,0.090909091
2.99E-05,0.090909091
2.91E-05,0.090909091
2.84E-05,0.090909091
2.77E-05,0.090909091
2.70E-05,0.090909091
2.64E-05,0.090909091
2.57E-05,0.090909091
2.51E-05,0.090909091
2.45E-05,0.090909091
2.39E-05,0.090909091
2.33E-05,0.090909091
2.27E-05,0.090909091
2.21E-05,0.090909091
2.16E-05,0.090909091
2.11E-05,0.090909091
2.05E-05,0.090909091
2.00E-05,0.090909091
1.95E-05,0.090909091
1.91E-05,0.090909091
1.86E-05,0.090909091
1.81E-05,0.090909091
1.77E-05,0.090909091
1.72E-05,0.090909091
1.68E-05,0.090909091
1.64E-05,0.090909091
1.60E-05,0.090909091
1.56E-05,0.090909091
1.52E-05,0.090909091
1.48E-05,0.090909091
1.45E-05,0.090909091
1.41E-05,0.090909091
1.38E-05,0.090909091
1.34E-05,0.090909091
1.31E-05,0.090909091
1.28E-05,0.090909091
1.25E-05,0.090909091
1.22E-05,0.090909091
1.19E-05,0.090909091
1.16E-05,0.090909091
1.13E-05,0.090909091
1.10E-05,0.090909091
1.07E-05,0.090909091
1.05E-05,0.090909091
1.02E-05,0.090909091
9.95E-06,0.090909091
9.70E-06,0.090909091
9.46E-06,0.090909091
9.23E-06,0.090909091
9.00E-06,0.090909091
8.78E-06,0.090909091
8.56E-06,0.090909091
8.35E-06,0.090909091
8.14E-06,0.090909091
7.94E-06,0.090909091
7.75E-06,0.090909091
7.56E-06,0.090909091
7.37E-06,0.090909091
7.19E-06,0.090909091
7.01E-06,0.090909091
6.84E-06,0.090909091
6.67E-06,0.090909091
6.50E-06,0.090909091
6.34E-06,0.090909091
6.19E-06,0.090909091
6.03E-06,0.090909091
5.88E-06,0.090909091
5.74E-06,0.090909091
5.60E-06,0.090909091
5.46E-06,0.090909091
5.32E-06,0.090909091
5.19E-06,0.090909091
5.07E-06,0.090909091
4.94E-06,0.090909091
4.82E-06,0.090909091
4.70E-06,0.090909091
4.58E-06,0.090909091
4.47E-06,0.090909091
4.36E-06,0.090909091
4.25E-06,0.090909091
4.15E-06,0.090909091
4.04E-06,0.090909091
3.94E-06,0.090909091
3.85E-06,0.090909091
3.75E-06,0.090909091
3.66E-06,0.090909091
3.57E-06,0.090909091
3.48E-06,0.090909091
3.40E-06,0.090909091
3.31E-06,0.090909091
3.23E-06,0.090909091
3.15E-06,0.090909091
3.07E-06,0.090909091
3.00E-06,0.090909091
2.92E-06,0.090909091
2.85E-06,0.090909091
2.78E-06,0.090909091
2.71E-06,0.090909091
2.64E-06,0.090909091
2.58E-06,0.090909091
2.52E-06,0.090909091
2.45E-06,0.090909091
2.39E-06,0.090909091
2.33E-06,0.090909091
2.28E-06,0.090909091
2.22E-06,0.090909091
2.16E-06,0.090909091
2.11E-06,0.090909091
2.06E-06,0.090909091
2.01E-06,0.090909091
1.96E-06,0.090909091
1.91E-06,0.090909091
1.86E-06,0.090909091
